,Area,Price,Price Type,Rooms,Wrapper
0, Colombo 5 ,"Rs. 140,000 Per Month ",Per Month,3,Apartment
1, Colombo 5 ,"Rs. 7,000 Per Day ",Per Day,3,Apartment
2, Colombo 2 ,  ,No Record,4,Apartment
3, Colombo 2 ,  ,No Record,2,Apartment
4, Colombo 2 ,  ,No Record,3,Apartment
5, Colombo 2 ,  ,No Record,3,Apartment
6, Colombo 2 ,  ,No Record,4,Apartment
7, Colombo 2 ,  ,No Record,2,Apartment
8, Battaramulla ,"Rs. 70,000 Per Month ",Per Month,4,Apartment
9,No Record,No Record,No Record,No Record,No_Record
10,No Record,No Record,No Record,No Record,No_Record
11, Colombo 4 ,Rs. 43M Per Month ,Per Month,3,Apartment
12, Colombo 6 ,"Rs. 85,000 Per Month ",Per Month,3,Apartment
13, Colombo 1 ,  ,No Record,2,Apartment
14, Colombo 3 ,"Rs. 250,000 Per Month ",Per Month,2,Apartment
15, Colombo 3 ,  ,No Record,2,Apartment
16, Colombo 7 ,"Rs. 225,000 Per Month ",Per Month,3,Apartment
17, Colombo 5 ,"Rs. 200,000 Per Month ",Per Month,3,Apartment
18, Colombo 2 ,  ,No Record,4,Apartment
19, Colombo 3 ,  ,No Record,2,Apartment
20, Colombo 7 ,"Rs. 85,000 Per Month ",Per Month,3,Apartment
21, Colombo 2 ,"Rs. 698,565 Per Month ",Per Month,4,Apartment
22, Colombo 4 ,"Rs. 180,000 Per Month ",Per Month,4,Apartment
23, Colombo 2 ,  ,No Record,2,Apartment
24, Mount Lavinia ,"Rs. 95,000 Per Month ",Per Month,2,Apartment
25, Colombo 6 ,"Rs. 90,000 Per Month ",Per Month,2,Apartment
26, Colombo 8 ,"Rs. 110,000 Per Month ",Per Month,2,Apartment
27, Colombo 3 ,"Rs. 247,000 Per Month ",Per Month,2,Apartment
28, Colombo 8 ,"Rs. 98,000 Per Month ",Per Month,2,Apartment
29, Colombo 6 ,"Rs. 110,000 Per Month ",Per Month,3,Apartment
30, Colombo 5 ,"Rs. 140,000 Per Month ",Per Month,2,Apartment
31, Colombo 4 ,"Rs. 140,000 Per Month ",Per Month,3,Apartment
32,No Record,No Record,No Record,No Record,No_Record
33,No Record,No Record,No Record,No Record,No_Record
34,No Record,No Record,No Record,No Record,No_Record
35,No Record,No Record,No Record,No Record,No_Record
36,No Record,No Record,No Record,No Record,No_Record
37, Colombo 5 ,"Rs. 370,000 Per Month ",Per Month,4,Apartment
38, Colombo 3 ,"Rs. 130,000 Per Month ",Per Month,3,Apartment
39, Colombo 2 ,"Rs. 250,000 Per Month ",Per Month,3,Apartment
40, Colombo 5 ,"Rs. 225,000 Per Month ",Per Month,3,Apartment
41, Dehiwala ,"Rs. 120,000 Per Month ",Per Month,3,Apartment
42, Colombo 5 ,  ,No Record,3,Apartment
43, Boralesgamuwa ,"Rs. 85,000 Per Month ",Per Month,2,Apartment
44, Mount Lavinia ,"Rs. 90,000 Per Month ",Per Month,2,Apartment
45, Nugegoda ,"Rs. 125,000 Per Month ",Per Month,3,Apartment
